"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"1510 Collins Rd, Pittsburgh, PA 15221","1510 Collins Rd","Pittsburgh","PA",15221,11416824,"https://www.zillow.com/homedetails/1510-Collins-Rd-Pittsburgh-PA-15221/11416824_zpid/",TRUE,"SOLD",82000,2,1,1508,40.452976,-79.858604,FALSE,"2021-06-08","SINGLE_FAMILY",6120.18,"sqft",65600
"295 Barclay Ave, Pittsburgh, PA 15221","295 Barclay Ave","Pittsburgh","PA",15221,11454838,"https://www.zillow.com/homedetails/295-Barclay-Ave-Pittsburgh-PA-15221/11454838_zpid/",TRUE,"SOLD",205000,3,2,1268,40.428654,-79.84817,FALSE,"2021-06-08","SINGLE_FAMILY",5998.212,"sqft",151200
"265 Sharon Dr, Pittsburgh, PA 15221","265 Sharon Dr","Pittsburgh","PA",15221,11419480,"https://www.zillow.com/homedetails/265-Sharon-Dr-Pittsburgh-PA-15221/11419480_zpid/",TRUE,"SOLD",247000,3,2,1305,40.42671,-79.84918,FALSE,"2021-06-07","SINGLE_FAMILY",8398.368,"sqft",113500
"112 Center St, Wilkinsburg, PA 15221","112 Center St","Wilkinsburg","PA",15221,11421142,"https://www.zillow.com/homedetails/112-Center-St-Wilkinsburg-PA-15221/11421142_zpid/",TRUE,"SOLD",89000,2,1,972,40.4173,-79.8535,FALSE,"2021-06-04","SINGLE_FAMILY",0,"sqft",48400
"115 Forest Hills Rd, Pittsburgh, PA 15221","115 Forest Hills Rd","Pittsburgh","PA",15221,11418717,"https://www.zillow.com/homedetails/115-Forest-Hills-Rd-Pittsburgh-PA-15221/11418717_zpid/",TRUE,"SOLD",300000,4,2,2010,40.434387,-79.86232,FALSE,"2021-06-04","SINGLE_FAMILY",0.3,"acres",177000
"5 Batavia Rd, Pittsburgh, PA 15221","5 Batavia Rd","Pittsburgh","PA",15221,11419580,"https://www.zillow.com/homedetails/5-Batavia-Rd-Pittsburgh-PA-15221/11419580_zpid/",TRUE,"SOLD",341000,3,3,NA,40.424385,-79.86338,FALSE,"2021-06-04","SINGLE_FAMILY",NA,NA,135400
"3913 Dowling Ave, Pittsburgh, PA 15221","3913 Dowling Ave","Pittsburgh","PA",15221,11454898,"https://www.zillow.com/homedetails/3913-Dowling-Ave-Pittsburgh-PA-15221/11454898_zpid/",TRUE,"SOLD",160000,3,2,1100,40.428593,-79.84469,FALSE,"2021-06-04","SINGLE_FAMILY",0.3141,"acres",70200
"2020 Sonny St, Pittsburgh, PA 15221","2020 Sonny St","Pittsburgh","PA",15221,11378683,"https://www.zillow.com/homedetails/2020-Sonny-St-Pittsburgh-PA-15221/11378683_zpid/",TRUE,"SOLD",65000,3,2,1160,40.4501,-79.87119,FALSE,"2021-06-04","SINGLE_FAMILY",6359.76,"sqft",67300
"3856 Rural Ct W, Pittsburgh, PA 15221","3856 Rural Ct W","Pittsburgh","PA",15221,11454756,"https://www.zillow.com/homedetails/3856-Rural-Ct-W-Pittsburgh-PA-15221/11454756_zpid/",TRUE,"SOLD",200000,3,1,1134,40.429047,-79.84673,FALSE,"2021-06-03","SINGLE_FAMILY",5610.528,"sqft",79600
"313 Burlington Rd, Pittsburgh, PA 15221","313 Burlington Rd","Pittsburgh","PA",15221,11382625,"https://www.zillow.com/homedetails/313-Burlington-Rd-Pittsburgh-PA-15221/11382625_zpid/",TRUE,"SOLD",275000,3,2,1440,40.42493,-79.866684,FALSE,"2021-05-28","SINGLE_FAMILY",0.3855,"acres",172000
