"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"2244 Manor Ave, Pittsburgh, PA 15218","2244 Manor Ave","Pittsburgh","PA",15218,11383078,"https://www.zillow.com/homedetails/2244-Manor-Ave-Pittsburgh-PA-15218/11383078_zpid/",NA,"SOLD",23000,3,1,1428,40.42042,-79.88205,FALSE,"2020-02-03","SINGLE_FAMILY",2530,"sqft",53800
"311 Garland St, Pittsburgh, PA 15218","311 Garland St","Pittsburgh","PA",15218,11344164,"https://www.zillow.com/homedetails/311-Garland-St-Pittsburgh-PA-15218/11344164_zpid/",TRUE,"SOLD",210000,3,1,NA,40.430267,-79.889534,FALSE,"2020-01-31","SINGLE_FAMILY",NA,NA,105000
"7724 Evans St, Pittsburgh, PA 15218","7724 Evans St","Pittsburgh","PA",15218,11382868,"https://www.zillow.com/homedetails/7724-Evans-St-Pittsburgh-PA-15218/11382868_zpid/",TRUE,"SOLD",95000,3,2,945,40.421757,-79.87597,FALSE,"2020-01-30","SINGLE_FAMILY",0,"sqft",55700
"442 Locust St, Pittsburgh, PA 15218","442 Locust St","Pittsburgh","PA",15218,11381542,"https://www.zillow.com/homedetails/442-Locust-St-Pittsburgh-PA-15218/11381542_zpid/",TRUE,"SOLD",349000,NA,0,NA,40.43137,-79.87609,FALSE,"2020-01-30","TOWNHOUSE",NA,NA,187700
"119 Washington St, Swissvale, PA 15218","119 Washington St","Swissvale","PA",15218,11343396,"https://www.zillow.com/homedetails/119-Washington-St-Swissvale-PA-15218/11343396_zpid/",TRUE,"SOLD",111012,4,2,1684,40.43428,-79.88644,FALSE,"2020-01-28","SINGLE_FAMILY",7126,"sqft",223500
"142 Lilmont Dr, Pittsburgh, PA 15218","142 Lilmont Dr","Pittsburgh","PA",15218,11383820,"https://www.zillow.com/homedetails/142-Lilmont-Dr-Pittsburgh-PA-15218/11383820_zpid/",TRUE,"SOLD",97500,3,2,NA,40.41453,-79.87199,FALSE,"2020-01-27","SINGLE_FAMILY",NA,NA,61600
"119 Gordon St, Pittsburgh, PA 15218","119 Gordon St","Pittsburgh","PA",15218,11344184,"https://www.zillow.com/homedetails/119-Gordon-St-Pittsburgh-PA-15218/11344184_zpid/",TRUE,"SOLD",229000,5,2,3019,40.428833,-79.88361,FALSE,"2020-01-24","SINGLE_FAMILY",3536,"sqft",185000
"2406 S Braddock Ave, Pittsburgh, PA 15218","2406 S Braddock Ave","Pittsburgh","PA",15218,11383466,"https://www.zillow.com/homedetails/2406-S-Braddock-Ave-Pittsburgh-PA-15218/11383466_zpid/",TRUE,"SOLD",45000,3,2,1276,40.418087,-79.880806,FALSE,"2020-01-24","SINGLE_FAMILY",0,"sqft",57400
"2026 Wayne St, Pittsburgh, PA 15218","2026 Wayne St","Pittsburgh","PA",15218,11345772,"https://www.zillow.com/homedetails/2026-Wayne-St-Pittsburgh-PA-15218/11345772_zpid/",TRUE,"SOLD",55000,3,1,1440,40.419975,-79.89035,FALSE,"2020-01-24","SINGLE_FAMILY",0,"sqft",49900
"215 W Hutchinson Ave, Pittsburgh, PA 15218","215 W Hutchinson Ave","Pittsburgh","PA",15218,11343285,"https://www.zillow.com/homedetails/215-W-Hutchinson-Ave-Pittsburgh-PA-15218/11343285_zpid/",TRUE,"SOLD",417205,3,2,1301,40.434025,-79.89067,FALSE,"2020-01-23","SINGLE_FAMILY",6263,"sqft",3e+05
"141 Lloyd Ave, Pittsburgh, PA 15218","141 Lloyd Ave","Pittsburgh","PA",15218,11344375,"https://www.zillow.com/homedetails/141-Lloyd-Ave-Pittsburgh-PA-15218/11344375_zpid/",TRUE,"SOLD",300000,6,2.5,2582,40.427773,-79.8831,FALSE,"2020-01-22","SINGLE_FAMILY",7500,"sqft",207000
