"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"350 S Graham St, Pittsburgh, PA 15232","350 S Graham St","Pittsburgh","PA",15232,119343946,"https://www.zillow.com/homedetails/350-S-Graham-St-Pittsburgh-PA-15232/119343946_zpid/",TRUE,"SOLD",545000,NA,0,4445,40.46038,-79.93691,FALSE,"2019-04-03","MULTI_FAMILY",0.258287419651056,"acres",469800
"5756 Kentucky Ave, Pittsburgh, PA 15232","5756 Kentucky Ave","Pittsburgh","PA",15232,11628778,"https://www.zillow.com/homedetails/5756-Kentucky-Ave-Pittsburgh-PA-15232/11628778_zpid/",TRUE,"SOLD",415000,4,3,1875,40.450935,-79.92801,FALSE,"2019-04-01","TOWNHOUSE",2400,"sqft",276100
"5570 Centre Ave APT 402, Pittsburgh, PA 15232","5570 Centre Ave APT 402","Pittsburgh","PA",15232,164428086,"https://www.zillow.com/homedetails/5570-Centre-Ave-APT-402-Pittsburgh-PA-15232/164428086_zpid/",NA,"SOLD",402000,NA,NA,NA,40.456154,-79.93419,FALSE,"2019-03-26","SINGLE_FAMILY",NA,NA,NA
"5237 5th Ave APT A4, Pittsburgh, PA 15232","5237 5th Ave APT A4","Pittsburgh","PA",15232,2076092628,"https://www.zillow.com/homedetails/5237-5th-Ave-APT-A4-Pittsburgh-PA-15232/2076092628_zpid/",NA,"SOLD",155000,NA,NA,NA,40.448154,-79.93555,FALSE,"2019-03-25","SINGLE_FAMILY",NA,NA,NA
"5526 Comet Way, Pittsburgh, PA 15232","5526 Comet Way","Pittsburgh","PA",15232,11628696,"https://www.zillow.com/homedetails/5526-Comet-Way-Pittsburgh-PA-15232/11628696_zpid/",NA,"SOLD",155000,2,2,1444,40.45097,-79.93241,FALSE,"2019-03-25","SINGLE_FAMILY",1500,"sqft",800
"700 Saint James St, Pittsburgh, PA 15232","700 Saint James St","Pittsburgh","PA",15232,11528587,"https://www.zillow.com/homedetails/700-Saint-James-St-Pittsburgh-PA-15232/11528587_zpid/",TRUE,"SOLD",2400000,6,6,6052,40.4514,-79.93762,FALSE,"2019-03-25","SINGLE_FAMILY",0.292699724517906,"acres",2068800
"702 College St, Pittsburgh, PA 15232","702 College St","Pittsburgh","PA",15232,11625394,"https://www.zillow.com/homedetails/702-College-St-Pittsburgh-PA-15232/11625394_zpid/",TRUE,"SOLD",741000,4,4,2795,40.455154,-79.928406,FALSE,"2019-03-22","SINGLE_FAMILY",3023,"sqft",638700
"5528 Howe St, Pittsburgh, PA 15232","5528 Howe St","Pittsburgh","PA",15232,11628750,"https://www.zillow.com/homedetails/5528-Howe-St-Pittsburgh-PA-15232/11628750_zpid/",TRUE,"SOLD",497500,NA,0,3339,40.450493,-79.931946,FALSE,"2019-03-20","MULTI_FAMILY",3380,"sqft",428800
"1117 Shady Ave, Pittsburgh, PA 15232","1117 Shady Ave","Pittsburgh","PA",15232,11629203,"https://www.zillow.com/homedetails/1117-Shady-Ave-Pittsburgh-PA-15232/11629203_zpid/",TRUE,"SOLD",702000,4,5,2621,40.449265,-79.92049,FALSE,"2019-03-18","SINGLE_FAMILY",9265,"sqft",397400
"371 Spahr St, Pittsburgh, PA 15232","371 Spahr St","Pittsburgh","PA",15232,11625518,"https://www.zillow.com/homedetails/371-Spahr-St-Pittsburgh-PA-15232/11625518_zpid/",TRUE,"SOLD",265000,4,2,1800,40.45512,-79.92738,FALSE,"2019-03-12","SINGLE_FAMILY",2252,"sqft",169000
"5926 Kentucky Ave, Pittsburgh, PA 15232","5926 Kentucky Ave","Pittsburgh","PA",15232,11628789,"https://www.zillow.com/homedetails/5926-Kentucky-Ave-Pittsburgh-PA-15232/11628789_zpid/",TRUE,"SOLD",465000,3,3,1615,40.452103,-79.925224,FALSE,"2019-03-08","SINGLE_FAMILY",2186,"sqft",400800
"733 S Negley Ave, Pittsburgh, PA 15232","733 S Negley Ave","Pittsburgh","PA",15232,11628643,"https://www.zillow.com/homedetails/733-S-Negley-Ave-Pittsburgh-PA-15232/11628643_zpid/",TRUE,"SOLD",315000,1,1,900,40.452316,-79.93084,FALSE,"2019-03-05","SINGLE_FAMILY",3136,"sqft",275300
