"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"1133 Winterton St, Pittsburgh, PA 15206","1133 Winterton St","Pittsburgh","PA",15206,11282729,"https://www.zillow.com/homedetails/1133-Winterton-St-Pittsburgh-PA-15206/11282729_zpid/",NA,"SOLD",698000,4,1,1804,40.474133,-79.91368,FALSE,"2020-07-02","SINGLE_FAMILY",4004,"sqft",186800
"228 Emerson St, Pittsburgh, PA 15206","228 Emerson St","Pittsburgh","PA",15206,11624547,"https://www.zillow.com/homedetails/228-Emerson-St-Pittsburgh-PA-15206/11624547_zpid/",TRUE,"SOLD",500000,6,4,2825,40.45853,-79.92365,FALSE,"2020-07-02","SINGLE_FAMILY",0,"sqft",172000
"6338 Bryant St, Pittsburgh, PA 15206","6338 Bryant St","Pittsburgh","PA",15206,2079435482,"https://www.zillow.com/homedetails/6338-Bryant-St-Pittsburgh-PA-15206/2079435482_zpid/",TRUE,"SOLD",698000,4,3,2425,40.474133,-79.91368,FALSE,"2020-07-02","SINGLE_FAMILY",4007.52,"sqft",NA
"5421 Baywood St, Pittsburgh, PA 15206","5421 Baywood St","Pittsburgh","PA",15206,164506630,"https://www.zillow.com/homedetails/5421-Baywood-St-Pittsburgh-PA-15206/164506630_zpid/",TRUE,"SOLD",545500,4,4,3386,40.472282,-79.93034,FALSE,"2020-07-01","SINGLE_FAMILY",0,"sqft",326100
"845 Highview St, Pittsburgh, PA 15206","845 Highview St","Pittsburgh","PA",15206,11620594,"https://www.zillow.com/homedetails/845-Highview-St-Pittsburgh-PA-15206/11620594_zpid/",TRUE,"SOLD",200000,NA,0,NA,40.474293,-79.929665,FALSE,"2020-07-01","MULTI_FAMILY",NA,NA,73700
"1223 King Ave, Pittsburgh, PA 15206","1223 King Ave","Pittsburgh","PA",15206,11619808,"https://www.zillow.com/homedetails/1223-King-Ave-Pittsburgh-PA-15206/11619808_zpid/",TRUE,"SOLD",329000,5,3,NA,40.47891,-79.926125,FALSE,"2020-07-01","SINGLE_FAMILY",NA,NA,173100
"5700 Elgin St, Pittsburgh, PA 15206","5700 Elgin St","Pittsburgh","PA",15206,11620429,"https://www.zillow.com/homedetails/5700-Elgin-St-Pittsburgh-PA-15206/11620429_zpid/",TRUE,"SOLD",775000,6,4,3580,40.47694,-79.921165,FALSE,"2020-06-30","SINGLE_FAMILY",0,"sqft",559400
"904 Farragut St, Pittsburgh, PA 15206","904 Farragut St","Pittsburgh","PA",15206,11622510,"https://www.zillow.com/homedetails/904-Farragut-St-Pittsburgh-PA-15206/11622510_zpid/",TRUE,"SOLD",340000,2,2,1368,40.4711,-79.91867,FALSE,"2020-06-30","SINGLE_FAMILY",0,"sqft",216300
"5531 Columbo St, Pittsburgh, PA 15206","5531 Columbo St","Pittsburgh","PA",15206,11622660,"https://www.zillow.com/homedetails/5531-Columbo-St-Pittsburgh-PA-15206/11622660_zpid/",TRUE,"SOLD",160000,4,3,2607,40.468857,-79.929535,FALSE,"2020-06-30","SINGLE_FAMILY",0,"sqft",117800
"1434 Duffield St, Pittsburgh, PA 15206","1434 Duffield St","Pittsburgh","PA",15206,11278602,"https://www.zillow.com/homedetails/1434-Duffield-St-Pittsburgh-PA-15206/11278602_zpid/",NA,"SOLD",270000,3,2,1554,40.482403,-79.93053,FALSE,"2020-06-29","SINGLE_FAMILY",3200,"sqft",124500
"1236 Duffield St, Pittsburgh, PA 15206","1236 Duffield St","Pittsburgh","PA",15206,11619582,"https://www.zillow.com/homedetails/1236-Duffield-St-Pittsburgh-PA-15206/11619582_zpid/",TRUE,"SOLD",224900,3,2,1228,40.480743,-79.93106,FALSE,"2020-06-29","SINGLE_FAMILY",0,"sqft",101100
"905 Chislett St, Pittsburgh, PA 15206","905 Chislett St","Pittsburgh","PA",15206,11620144,"https://www.zillow.com/homedetails/905-Chislett-St-Pittsburgh-PA-15206/11620144_zpid/",TRUE,"SOLD",292600,3,2,1800,40.475094,-79.93041,FALSE,"2020-06-26","SINGLE_FAMILY",2613.6,"sqft",97800
