"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"1307 Richmond St, Pittsburgh, PA 15218","1307 Richmond St","Pittsburgh","PA",15218,11344250,"https://www.zillow.com/homedetails/1307-Richmond-St-Pittsburgh-PA-15218/11344250_zpid/",TRUE,"SOLD",442000,4,3,2074,40.428444,-79.89691,FALSE,"2021-10-11","SINGLE_FAMILY",3001.284,"sqft",289600
"939 Laclair St, Pittsburgh, PA 15218","939 Laclair St","Pittsburgh","PA",15218,11343033,"https://www.zillow.com/homedetails/939-Laclair-St-Pittsburgh-PA-15218/11343033_zpid/",TRUE,"SOLD",450000,3,2,NA,40.434265,-79.89733,FALSE,"2021-10-06","SINGLE_FAMILY",NA,NA,234900
"908 Milton St, Pittsburgh, PA 15218","908 Milton St","Pittsburgh","PA",15218,11343017,"https://www.zillow.com/homedetails/908-Milton-St-Pittsburgh-PA-15218/11343017_zpid/",TRUE,"SOLD",475000,4,2,1570,40.43515,-79.89713,FALSE,"2021-09-30","SINGLE_FAMILY",3598.056,"sqft",177400
"519 Allenby Ave, Pittsburgh, PA 15218","519 Allenby Ave","Pittsburgh","PA",15218,11343722,"https://www.zillow.com/homedetails/519-Allenby-Ave-Pittsburgh-PA-15218/11343722_zpid/",TRUE,"SOLD",198000,3,1,1360,40.43153,-79.89052,FALSE,"2021-09-30","SINGLE_FAMILY",3519.648,"sqft",117000
"1018 Milton St, Pittsburgh, PA 15218","1018 Milton St","Pittsburgh","PA",15218,11343550,"https://www.zillow.com/homedetails/1018-Milton-St-Pittsburgh-PA-15218/11343550_zpid/",TRUE,"SOLD",285000,3,2,NA,40.433052,-79.8958,FALSE,"2021-09-27","SINGLE_FAMILY",NA,NA,323300
"7715 Juniata St, Pittsburgh, PA 15218","7715 Juniata St","Pittsburgh","PA",15218,11382679,"https://www.zillow.com/homedetails/7715-Juniata-St-Pittsburgh-PA-15218/11382679_zpid/",TRUE,"SOLD",135000,2,2,NA,40.422565,-79.881035,FALSE,"2021-09-24","SINGLE_FAMILY",NA,NA,46100
"7367 Denniston Ave, Pittsburgh, PA 15218","7367 Denniston Ave","Pittsburgh","PA",15218,2123036074,"https://www.zillow.com/homedetails/7367-Denniston-Ave-Pittsburgh-PA-15218/2123036074_zpid/",TRUE,"SOLD",148000,NA,0,NA,NA,NA,FALSE,"2021-09-21","MULTI_FAMILY",NA,NA,NA
"1246 Pocono St, Pittsburgh, PA 15218","1246 Pocono St","Pittsburgh","PA",15218,11290292,"https://www.zillow.com/homedetails/1246-Pocono-St-Pittsburgh-PA-15218/11290292_zpid/",TRUE,"SOLD",160000,2,3,733,40.419456,-79.9022,FALSE,"2021-09-21","SINGLE_FAMILY",2500.344,"sqft",92700
"607 Greendale Ave, Pittsburgh, PA 15218","607 Greendale Ave","Pittsburgh","PA",15218,11344153,"https://www.zillow.com/homedetails/607-Greendale-Ave-Pittsburgh-PA-15218/11344153_zpid/",TRUE,"SOLD",320500,4,2,NA,40.429413,-79.89065,FALSE,"2021-09-21","SINGLE_FAMILY",NA,NA,204300
"68 Lilmont Dr, Pittsburgh, PA 15218","68 Lilmont Dr","Pittsburgh","PA",15218,11383514,"https://www.zillow.com/homedetails/68-Lilmont-Dr-Pittsburgh-PA-15218/11383514_zpid/",TRUE,"SOLD",130500,2,2,950,40.418438,-79.87351,FALSE,"2021-09-20","SINGLE_FAMILY",4875,"sqft",74400
"7210 Whipple St, Pittsburgh, PA 15218","7210 Whipple St","Pittsburgh","PA",15218,11344470,"https://www.zillow.com/homedetails/7210-Whipple-St-Pittsburgh-PA-15218/11344470_zpid/",TRUE,"SOLD",228000,3,2,1610,40.42425,-79.89648,FALSE,"2021-09-17","SINGLE_FAMILY",3301.848,"sqft",114700
"7429 Park Ave, Pittsburgh, PA 15218","7429 Park Ave","Pittsburgh","PA",15218,11345739,"https://www.zillow.com/homedetails/7429-Park-Ave-Pittsburgh-PA-15218/11345739_zpid/",TRUE,"SOLD",178000,NA,0,NA,40.41989,-79.887695,FALSE,"2021-09-16","MULTI_FAMILY",NA,NA,116000
"2403 Woodstock Ave, Pittsburgh, PA 15218","2403 Woodstock Ave","Pittsburgh","PA",15218,11383355,"https://www.zillow.com/homedetails/2403-Woodstock-Ave-Pittsburgh-PA-15218/11383355_zpid/",TRUE,"SOLD",184000,6,2,1920,40.417633,-79.881485,FALSE,"2021-09-16","SINGLE_FAMILY",5749.92,"sqft",82700
"1228 S Braddock Ave, Pittsburgh, PA 15218","1228 S Braddock Ave","Pittsburgh","PA",15218,11343570,"https://www.zillow.com/homedetails/1228-S-Braddock-Ave-Pittsburgh-PA-15218/11343570_zpid/",TRUE,"SOLD",325000,3,2,1416,40.43088,-79.893,FALSE,"2021-09-13","SINGLE_FAMILY",3001.284,"sqft",171300
"7715 Cannon St, Pittsburgh, PA 15218","7715 Cannon St","Pittsburgh","PA",15218,11345306,"https://www.zillow.com/homedetails/7715-Cannon-St-Pittsburgh-PA-15218/11345306_zpid/",TRUE,"SOLD",90000,2,2,1437,40.42311,-79.8829,FALSE,"2021-09-10","SINGLE_FAMILY",1507.176,"sqft",32200
"1912 Hanover St, Pittsburgh, PA 15218","1912 Hanover St","Pittsburgh","PA",15218,11345589,"https://www.zillow.com/homedetails/1912-Hanover-St-Pittsburgh-PA-15218/11345589_zpid/",TRUE,"SOLD",145000,3,1,NA,40.420338,-79.89306,FALSE,"2021-09-10","SINGLE_FAMILY",NA,NA,61700
"1527 Mansion Pl, Pittsburgh, PA 15218","1527 Mansion Pl","Pittsburgh","PA",15218,11345600,"https://www.zillow.com/homedetails/1527-Mansion-Pl-Pittsburgh-PA-15218/11345600_zpid/",TRUE,"SOLD",277000,3,1,1232,40.41895,-79.895256,FALSE,"2021-09-10","SINGLE_FAMILY",5083.452,"sqft",74800
"1230 S Braddock Ave, Pittsburgh, PA 15218","1230 S Braddock Ave","Pittsburgh","PA",15218,11343990,"https://www.zillow.com/homedetails/1230-S-Braddock-Ave-Pittsburgh-PA-15218/11343990_zpid/",TRUE,"SOLD",220000,NA,0,NA,40.430805,-79.892944,FALSE,"2021-09-10","MULTI_FAMILY",NA,NA,125000
"1706 Miriam St, Pittsburgh, PA 15218","1706 Miriam St","Pittsburgh","PA",15218,11344669,"https://www.zillow.com/homedetails/1706-Miriam-St-Pittsburgh-PA-15218/11344669_zpid/",TRUE,"SOLD",238000,4,2,1728,40.424683,-79.89073,FALSE,"2021-09-09","SINGLE_FAMILY",2901.096,"sqft",80000
"304 Raymond St, Pittsburgh, PA 15218","304 Raymond St","Pittsburgh","PA",15218,11344424,"https://www.zillow.com/homedetails/304-Raymond-St-Pittsburgh-PA-15218/11344424_zpid/",TRUE,"SOLD",410000,3,3,1470,40.423737,-79.89914,FALSE,"2021-09-03","SINGLE_FAMILY",3301.848,"sqft",209900
"7318 Trevanion Ave, Pittsburgh, PA 15218","7318 Trevanion Ave","Pittsburgh","PA",15218,11344265,"https://www.zillow.com/homedetails/7318-Trevanion-Ave-Pittsburgh-PA-15218/11344265_zpid/",TRUE,"SOLD",287500,3,1,1590,40.42774,-79.89654,FALSE,"2021-08-31","SINGLE_FAMILY",3959.604,"sqft",223300
"2536 Delaware Ave, Pittsburgh, PA 15218","2536 Delaware Ave","Pittsburgh","PA",15218,11382833,"https://www.zillow.com/homedetails/2536-Delaware-Ave-Pittsburgh-PA-15218/11382833_zpid/",TRUE,"SOLD",167000,3,2,NA,40.423203,-79.87498,FALSE,"2021-08-31","SINGLE_FAMILY",NA,NA,74600
