"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"938 Milton St, Pittsburgh, PA 15218","938 Milton St","Pittsburgh","PA",15218,11343008,"https://www.zillow.com/homedetails/938-Milton-St-Pittsburgh-PA-15218/11343008_zpid/",TRUE,"SOLD",373000,5,2,2328,40.434395,-79.89676,FALSE,"2019-09-30","SINGLE_FAMILY",5401,"sqft",241500
"7231 Church St, Pittsburgh, PA 15218","7231 Church St","Pittsburgh","PA",15218,11345192,"https://www.zillow.com/homedetails/7231-Church-St-Pittsburgh-PA-15218/11345192_zpid/",NA,"SOLD",25000,2,1,1041,40.421253,-79.89273,FALSE,"2019-09-27","SINGLE_FAMILY",3525,"sqft",37800
"7467 Church St, Pittsburgh, PA 15218","7467 Church St","Pittsburgh","PA",15218,11345294,"https://www.zillow.com/homedetails/7467-Church-St-Pittsburgh-PA-15218/11345294_zpid/",TRUE,"SOLD",46000,2,1,1050,40.42316,-79.88807,FALSE,"2019-09-27","SINGLE_FAMILY",3301,"sqft",51700
"7411 Duquesne Ave, Pittsburgh, PA 15218","7411 Duquesne Ave","Pittsburgh","PA",15218,11346078,"https://www.zillow.com/homedetails/7411-Duquesne-Ave-Pittsburgh-PA-15218/11346078_zpid/",TRUE,"SOLD",78444,4,2,1845,40.41873,-79.8878,FALSE,"2019-09-23","SINGLE_FAMILY",3049,"sqft",67600
"1414 Pocono St, Pittsburgh, PA 15218","1414 Pocono St","Pittsburgh","PA",15218,11345933,"https://www.zillow.com/homedetails/1414-Pocono-St-Pittsburgh-PA-15218/11345933_zpid/",TRUE,"SOLD",150000,3,2.5,1025,40.418495,-79.89785,FALSE,"2019-09-19","SINGLE_FAMILY",5253,"sqft",100400
"1146 Uptegraf St, Pittsburgh, PA 15218","1146 Uptegraf St","Pittsburgh","PA",15218,11290263,"https://www.zillow.com/homedetails/1146-Uptegraf-St-Pittsburgh-PA-15218/11290263_zpid/",TRUE,"SOLD",150000,3,1.5,2250,40.420685,-79.90499,FALSE,"2019-09-17","SINGLE_FAMILY",3750,"sqft",107000
"7501 1/2 Ellesmere St, Swissvale, PA 15218","7501 1/2 Ellesmere St","Swissvale","PA",15218,11383430,"https://www.zillow.com/homedetails/7501-1-2-Ellesmere-St-Swissvale-PA-15218/11383430_zpid/",NA,"SOLD",95000,4,2,2432,40.416912,-79.8828,FALSE,"2019-09-17","MULTI_FAMILY",2282,"sqft",98800
"7409 Park Ave, Pittsburgh, PA 15218","7409 Park Ave","Pittsburgh","PA",15218,11345707,"https://www.zillow.com/homedetails/7409-Park-Ave-Pittsburgh-PA-15218/11345707_zpid/",TRUE,"SOLD",150000,4,2,2112,40.41942,-79.88846,FALSE,"2019-09-16","SINGLE_FAMILY",3049,"sqft",100500
"7340 Schoyer Ave, Pittsburgh, PA 15218","7340 Schoyer Ave","Pittsburgh","PA",15218,11345118,"https://www.zillow.com/homedetails/7340-Schoyer-Ave-Pittsburgh-PA-15218/11345118_zpid/",NA,"SOLD",205000,4,1,1536,40.423267,-79.891914,FALSE,"2019-09-13","SINGLE_FAMILY",4051,"sqft",176700
"7501 7501 1/2 Ellesmere St, Swissvale, PA 15218","7501 7501 1/2 Ellesmere St","Swissvale","PA",15218,2083254991,"https://www.zillow.com/homedetails/7501-7501-1-2-Ellesmere-St-Swissvale-PA-15218/2083254991_zpid/",TRUE,"SOLD",95000,NA,0,NA,40.416912,-79.8828,FALSE,"2019-09-13","MULTI_FAMILY",2238,"sqft",NA
